title,href
Wolves boss fumes over 'seven points' lost to VAR,/football/story/_/id/38996521/wolves-boss-oneil-fumes-seven-points-lost-var
Honest Ronaldo gets ref to overturn own penalty,/football/story/_/id/38993650/honest-ronaldo-gets-ref-overturn-own-penalty
'Fear of failure' driving Newcastle's Howe vs. PSG,/football/story/_/id/38992074/newcastle-howe-fear-failure-psg
Man City's Gvardiol in awe of teammate Haaland,/football/story/_/id/38991237/manchester-city-defender-gvardiol-awe-teammate-haaland
LeBron sets minutes mark in worst loss of career,/nba/story/_/id/38995940/lebron-james-becomes-nba-all-leader-minutes-played
Westbrook on fan dispute: 'Won't allow' disrespect,/nba/story/_/id/38996420/russell-westbrook-heated-exchange-fan-end-clippers-home-loss-nuggets
Doncic has thumb sprain but cleared to play,/nba/story/_/id/38992658/mavericks-luka-doncic-thumb-sprain-cleared-play
Reich fired by Panthers after 11 games: 'It hurts',/nfl/story/_/id/38991151/carolina-panthers-fire-head-coach-frank-reich
Wolves boss fumes over 'seven points' lost to VAR,/football/story/_/id/38996521/wolves-boss-oneil-fumes-seven-points-lost-var
Honest Ronaldo gets ref to overturn own penalty,/football/story/_/id/38993650/honest-ronaldo-gets-ref-overturn-own-penalty
'Fear of failure' driving Newcastle's Howe vs. PSG,/football/story/_/id/38992074/newcastle-howe-fear-failure-psg
Man City's Gvardiol in awe of teammate Haaland,/football/story/_/id/38991237/manchester-city-defender-gvardiol-awe-teammate-haaland
LeBron sets minutes mark in worst loss of career,/nba/story/_/id/38995940/lebron-james-becomes-nba-all-leader-minutes-played
Westbrook on fan dispute: 'Won't allow' disrespect,/nba/story/_/id/38996420/russell-westbrook-heated-exchange-fan-end-clippers-home-loss-nuggets
Doncic has thumb sprain but cleared to play,/nba/story/_/id/38992658/mavericks-luka-doncic-thumb-sprain-cleared-play
Reich fired by Panthers after 11 games: 'It hurts',/nfl/story/_/id/38991151/carolina-panthers-fire-head-coach-frank-reich
